t	M1_Sspd_9_mean	M1_Sspd_5_mean	M1_Sspd_2_mean	M1_Sdir_9_mean	M1_Sdir_5_mean	M1_Sdir_2_min	M2_Cup_9_mean	M2_Sspd_5_mean	M2_Sspd_2_mean	M2_Sdir_5_mean	M2_Sdir_2_mean	M3_Cup_9_mean	M3_Sspd_5_mean	M3_Sspd_2_mean	M3_Sdir_5_mean	M3_Sdir_2_mean	M4_Sspd_9_mean	M4_Sspd_5_mean	M4_Sspd_2_mean	M4_Sdir_9_mean	M4_Sdir_5_mean	M4_Sdir_2_mean	M5_Sspd_5_mean	M5_Sspd_2_mean	M5_Sdir_5_mean	M5_Sdir_2_mean	M6_Cup_9_mean	M6_Sspd_5_mean	M6_Sspd_2_mean	M6_Sdir_5_mean	M6_Sdir_2_mean	M7_Sspd_5_mean	M7_Sspd_2_mean	M7_Sdir_5_mean	M7_Sdir_2_mean	M8_Cup_9_mean	M8_Sspd_5_mean	M8_Sspd_2_mean	M8_Sdir_5_mean	M8_Sdir_2_mean
0.000	6.944	6.093	4.500	211.990	208.530	203.520	10.402	10.615	7.099	217.510	209.560	9.945	9.393	8.914	218.060	214.480	2.562	1.317	1.459	224.500	284.980	312.360	7.887	7.015	229.030	228.460	10.911	11.055	3.521	225.410	196.070	7.823	7.344	200.880	193.160	9.334	7.965	4.069	215.910	212.800
0.167	7.168	6.364	4.748	213.570	210.300	205.380	10.750	11.022	7.984	218.470	211.770	10.181	9.636	9.223	219.330	215.200	2.525	1.315	1.473	221.720	283.870	309.390	7.794	7.001	230.160	229.900	11.308	11.494	3.482	225.910	195.700	8.114	7.526	201.440	193.520	9.041	7.772	3.960	214.680	211.410
0.333	7.247	6.396	4.725	211.120	207.570	202.570	10.842	11.039	7.373	217.190	208.510	10.485	9.947	9.428	216.980	212.800	2.615	1.389	1.676	221.480	287.120	316.320	8.171	7.233	227.930	227.530	11.387	11.503	3.638	225.410	196.020	8.459	7.928	200.440	193.840	9.444	8.206	4.489	214.830	211.510
0.500	7.047	6.214	4.593	210.590	206.930	201.700	10.472	10.777	6.714	216.580	206.770	10.080	9.622	9.081	215.660	212.010	2.513	1.259	1.380	216.890	282.650	311.880	7.970	7.184	226.120	225.360	10.996	11.237	3.622	225.010	197.710	8.114	7.556	200.990	193.720	9.563	8.363	4.429	212.570	209.170
0.667	7.838	6.923	5.026	214.490	211.140	207.130	11.901	12.176	8.835	219.610	213.520	11.186	10.455	9.853	219.850	215.330	2.919	1.536	1.732	221.390	281.070	312.340	8.553	7.658	231.150	230.720	12.445	12.548	3.591	227.070	191.320	8.990	8.255	201.850	193.610	9.885	8.388	4.241	215.840	211.980
0.833	7.800	6.880	5.182	212.190	208.410	203.460	11.633	12.060	8.060	217.800	208.810	11.140	10.564	10.054	218.050	214.090	2.785	1.372	1.441	219.870	288.610	310.390	8.765	7.847	229.790	229.460	12.194	12.434	3.803	225.570	196.070	8.926	8.323	200.690	193.790	10.237	8.812	4.634	215.360	211.490
1.000	7.547	6.603	4.835	213.870	210.130	206.040	11.852	12.029	8.465	218.450	210.360	11.408	10.736	10.224	218.540	214.650	3.033	1.586	2.002	220.060	281.390	315.780	8.933	7.930	228.860	228.690	12.325	12.354	3.920	227.270	187.400	8.762	8.090	202.950	195.030	10.792	9.168	4.698	215.400	213.060
1.167	7.079	6.313	4.670	211.860	208.600	203.600	10.800	11.065	7.172	217.280	208.680	10.358	9.888	9.334	217.580	213.400	2.614	1.237	1.439	219.030	281.650	315.240	8.084	7.200	228.570	227.520	11.180	11.396	3.336	226.460	192.000	8.232	7.700	202.140	194.750	9.763	8.439	4.404	214.470	211.120
1.333	6.822	6.065	4.558	210.020	206.900	202.180	10.341	10.494	7.119	216.190	208.570	9.990	9.513	9.053	216.090	212.540	2.590	1.291	1.381	217.850	280.550	311.920	7.851	7.007	227.630	227.000	10.711	10.964	3.449	225.240	198.140	8.036	7.508	200.170	193.100	9.311	8.067	4.282	214.060	210.300
1.500	7.443	6.673	5.056	207.540	204.300	198.720	11.081	11.380	6.959	215.070	206.200	10.773	10.200	9.638	214.090	210.570	2.357	1.282	1.248	215.120	287.500	309.610	8.201	7.375	224.640	223.800	11.603	11.855	4.029	222.570	202.200	8.727	8.269	197.420	190.560	10.284	9.028	5.108	209.680	205.800
1.667	7.510	6.658	4.995	208.510	204.610	198.880	11.323	11.537	7.451	215.050	204.870	10.990	10.451	9.878	214.230	210.530	2.677	1.368	1.452	216.700	293.810	319.190	8.599	7.607	225.880	225.360	11.622	11.966	4.054	223.920	196.370	8.762	8.173	199.830	193.200	10.049	8.919	5.059	211.990	208.120
1.833	7.461	6.641	4.899	211.740	208.700	204.050	11.279	11.463	7.895	217.910	209.600	10.780	10.181	9.626	217.730	214.070	2.613	1.309	1.354	222.440	283.930	319.160	8.257	7.342	227.900	227.830	11.860	12.057	3.986	224.940	198.670	8.547	7.988	200.270	193.120	9.667	8.517	4.427	214.010	210.880
2.000	7.130	6.384	4.993	206.770	203.110	197.190	10.577	10.881	6.247	214.310	203.870	10.195	9.773	9.295	213.970	210.380	2.384	1.247	1.280	210.060	291.870	311.690	7.811	7.018	225.720	225.490	10.899	11.118	3.623	223.060	200.500	8.341	7.883	198.870	192.090	9.154	8.025	4.409	211.440	207.180
2.167	7.632	6.957	5.522	203.270	199.220	192.990	11.061	11.332	6.186	211.350	199.370	10.934	10.438	9.869	210.600	206.910	2.688	1.486	1.423	204.250	305.250	321.030	8.479	7.570	222.010	221.880	11.427	11.633	4.814	219.270	201.050	8.857	8.530	196.090	190.220	10.263	9.130	5.396	210.270	204.790
2.333	7.115	6.429	4.932	207.450	204.430	199.260	10.629	10.935	6.405	214.730	203.980	10.324	9.832	9.248	213.480	209.580	2.448	1.384	1.417	212.720	291.190	316.190	8.078	7.205	224.110	223.620	11.031	11.155	3.967	222.970	197.320	8.280	7.827	198.600	192.150	9.860	8.664	4.985	210.220	206.060
2.500	7.904	7.142	5.591	205.200	201.230	195.810	11.541	11.857	7.308	213.050	204.190	10.932	10.376	9.777	213.190	209.880	2.639	1.326	1.458	209.640	299.740	322.580	8.341	7.345	224.100	223.900	11.945	12.136	4.931	220.240	197.130	9.111	8.647	197.140	190.710	9.978	8.813	5.179	210.260	206.580
2.667	8.010	7.284	5.705	203.200	199.280	193.370	11.452	11.719	6.460	211.970	201.210	10.992	10.453	9.907	210.210	207.110	2.397	1.523	1.544	205.030	299.970	319.430	8.382	7.433	220.920	219.980	11.907	12.152	4.894	218.820	201.380	9.445	8.934	194.800	188.590	9.997	8.992	5.790	207.900	203.030
2.833	6.982	6.387	5.168	200.190	196.560	191.580	9.862	10.130	5.283	210.530	198.650	9.579	9.244	8.576	207.680	203.950	2.175	1.210	1.261	207.520	310.010	328.690	7.433	6.508	217.200	216.240	10.297	10.587	5.382	215.750	199.040	8.250	8.002	193.250	187.150	9.502	8.614	5.531	203.880	199.890
3.000	7.050	6.401	5.117	201.120	197.010	190.340	9.841	10.148	5.375	210.160	199.210	9.639	9.243	8.793	206.990	202.810	2.235	1.189	1.369	205.300	308.380	327.200	7.328	6.514	217.210	216.420	10.390	10.604	4.869	216.710	198.380	8.410	8.134	194.310	188.870	8.983	8.145	5.560	203.950	199.700
3.167	6.720	6.189	4.997	197.600	193.300	187.180	9.429	9.579	5.132	207.990	196.400	8.967	8.534	8.052	206.280	202.830	1.705	1.166	1.313	207.400	317.920	330.290	6.540	5.830	215.740	214.870	9.832	9.990	5.340	213.010	199.000	8.040	7.759	190.930	185.980	8.631	7.901	5.795	200.470	196.270
3.333	6.287	5.837	4.809	196.190	192.560	186.030	8.974	9.208	5.143	205.980	196.710	8.755	8.418	8.051	205.210	201.840	1.778	1.139	1.315	201.830	318.940	334.150	6.634	5.917	213.930	212.650	9.161	9.275	5.258	213.140	197.060	7.498	7.235	192.070	187.350	8.854	8.079	5.841	201.630	197.550
3.500	6.789	6.275	5.211	197.780	193.150	186.800	9.509	9.768	5.621	207.520	198.110	9.152	8.792	8.287	206.440	202.850	1.937	1.199	1.309	197.750	325.600	334.340	6.775	5.973	216.260	215.600	9.822	9.979	5.699	213.380	198.440	7.811	7.680	192.140	186.470	8.745	7.996	6.128	201.320	195.860
3.667	6.861	6.306	5.248	195.070	190.730	183.880	9.597	9.816	5.498	204.730	195.380	9.546	9.184	8.673	205.080	201.170	1.992	1.332	1.408	206.510	329.900	338.890	7.018	6.238	214.960	214.750	9.898	9.984	6.107	211.150	196.910	8.041	7.721	191.120	186.270	9.132	8.326	6.617	200.180	195.780
3.833	6.388	5.962	4.824	197.990	193.910	187.420	8.946	9.146	4.940	207.220	197.930	8.838	8.509	8.150	203.470	199.760	1.859	1.248	1.366	201.590	323.640	337.920	6.658	5.823	212.400	210.700	9.454	9.569	5.153	214.260	194.560	7.726	7.456	193.120	188.140	8.669	7.905	6.220	199.790	194.600
4.000	6.522	6.072	5.015	194.480	190.410	183.020	8.972	9.192	5.494	204.720	196.160	9.034	8.657	8.206	204.210	200.160	1.909	1.239	1.312	203.130	321.650	338.000	6.779	6.027	212.500	210.900	9.237	9.378	6.042	210.510	196.150	7.635	7.426	189.990	185.410	9.387	8.619	6.524	199.540	195.600
4.167	6.981	6.486	5.512	190.700	186.900	179.730	9.620	9.782	5.902	200.990	193.490	9.535	9.105	8.635	201.770	197.700	1.737	1.473	1.588	253.230	339.670	351.430	6.712	5.940	210.180	209.300	9.704	9.803	7.373	206.430	193.860	8.181	7.957	188.390	184.340	8.843	8.104	6.761	196.820	192.100
4.333	7.443	6.852	5.701	191.680	187.390	180.190	9.993	10.171	6.330	201.820	193.160	9.792	9.378	8.932	200.970	196.950	1.790	1.470	1.662	232.580	342.270	348.700	7.046	6.322	211.070	210.050	10.431	10.559	7.881	207.210	193.440	8.913	8.630	187.790	182.990	9.005	8.254	6.876	196.750	192.260
