t	Wsp_Metmast_116_5m_mean	Wsp_Metmast_100m_mean	Wsp_Metmast_80m_mean	Wsp_Metmast_60m_mean	Wsp_Metmast_40m_mean	Wsp_Metmast_10m_mean	Dir_metmast_100m_mean	Dir_metmast_60m_mean	Dir_metmast_10m_mean
6.00000	12.644	12.287	11.641	10.724	9.516	7.033	81.229	79.318	78.117
6.16667	12.628	12.228	11.487	10.645	9.567	7.564	80.186	76.909	75.854
6.33333	12.998	12.551	11.807	10.737	9.410	7.381	80.768	78.246	76.213
6.50000	12.677	12.168	11.354	10.196	9.086	7.369	81.966	80.484	79.324
6.66667	12.524	12.195	11.531	10.521	9.455	7.676	82.495	81.342	79.582
6.83333	12.017	11.682	11.035	10.123	9.294	7.459	83.201	81.160	79.150
7.00000	11.596	11.066	10.466	9.770	9.015	7.351	87.530	85.379	83.021
7.16667	11.671	11.345	10.767	9.971	9.060	7.344	90.264	89.425	88.161
7.33333	12.088	11.677	10.972	10.213	9.329	7.707	94.845	92.438	90.859
7.50000	12.517	12.268	11.750	10.841	9.955	8.244	95.386	94.152	91.698
7.66667	12.753	12.311	11.835	11.249	10.380	8.498	94.006	92.291	91.154
7.83333	12.806	12.665	12.274	11.781	11.079	9.167	99.059	96.415	93.434
8.00000	13.019	12.536	11.982	11.334	10.491	8.946	99.783	98.840	96.998
8.16667	13.315	12.958	12.360	11.846	11.033	9.241	99.594	98.892	97.375
8.33333	13.272	13.060	12.585	11.965	11.000	8.697	102.410	101.990	100.530
8.50000	13.379	13.066	12.476	11.760	11.002	9.133	102.160	102.600	100.370
8.66667	14.219	14.062	13.760	13.256	12.233	10.054	99.906	99.342	100.280
8.83333	14.220	14.080	13.637	13.195	12.312	9.990	103.060	102.310	99.527
9.00000	14.355	13.905	13.281	12.650	11.743	9.649	106.600	106.650	106.650
9.16667	14.106	13.807	13.183	12.412	11.476	9.612	104.130	103.960	104.320
9.33333	15.021	14.760	14.382	13.905	13.182	10.894	105.900	105.030	103.040
9.50000	14.826	14.741	14.472	14.086	13.402	11.663	109.030	107.160	106.220
9.66667	15.807	15.435	15.055	14.469	13.572	11.663	108.890	108.100	107.050
9.83333	15.166	14.928	14.515	13.962	13.162	11.031	108.570	108.290	108.600
10.00000	14.658	14.579	14.422	14.197	13.379	11.133	107.980	107.020	105.950
10.16667	14.377	14.082	13.616	13.238	12.909	11.087	106.320	106.850	106.860
10.33333	16.858	16.673	16.249	15.535	14.740	12.663	107.440	105.860	105.370
10.50000	15.891	15.902	15.597	15.193	14.292	12.141	106.850	106.200	106.360
10.66667	14.740	14.677	14.577	14.214	13.240	11.270	109.980	110.430	109.760
10.83333	16.363	16.277	16.139	15.856	14.997	12.536	114.130	115.640	116.360
11.00000	15.215	15.197	14.980	14.429	13.708	11.974	109.370	109.000	108.830
11.16667	15.721	15.567	15.272	14.786	13.963	11.540	109.310	109.260	109.200
11.33333	16.485	16.332	15.907	15.352	14.504	12.112	107.810	107.820	106.480
11.50000	15.739	15.492	15.211	14.558	13.647	11.932	109.670	109.660	108.290
11.66667	14.494	14.571	14.307	14.176	13.321	11.173	107.940	107.970	109.300
11.83333	16.436	16.275	15.783	15.064	14.161	12.118	106.420	105.910	106.210
12.00000	16.285	16.073	15.935	15.649	14.996	12.773	108.660	107.610	107.390
12.16667	14.635	14.577	14.503	14.315	13.614	11.694	106.250	107.040	106.260
12.33333	15.288	15.242	14.970	14.528	13.702	11.678	109.560	110.810	111.180
12.50000	15.030	15.033	14.893	14.668	13.995	11.992	103.390	104.300	104.690
12.66667	14.423	14.134	13.983	13.811	13.239	11.005	106.810	105.400	104.760
12.83333	14.704	14.528	13.987	13.378	12.494	10.611	109.480	108.050	107.640
13.00000	16.387	16.289	16.020	15.391	14.537	12.096	105.700	105.950	105.540
13.16667	17.429	17.232	17.111	16.467	15.319	12.621	109.210	109.550	109.520
13.33333	14.050	13.931	13.614	13.220	12.528	10.438	104.180	105.010	105.680
13.50000	15.613	15.557	15.221	14.683	13.942	11.709	102.020	101.820	100.230
13.66667	15.198	15.110	14.698	14.237	13.558	11.592	105.820	105.520	103.530
13.83333	16.401	16.284	16.057	15.649	14.792	12.295	101.800	100.760	101.360
14.00000	16.281	16.000	15.544	15.020	14.067	11.629	101.250	100.760	100.890
14.16667	15.688	15.625	15.559	15.349	14.632	12.154	101.670	102.330	102.130
14.33333	16.100	15.951	15.580	14.886	13.886	11.632	102.740	103.210	103.370
14.50000	17.488	17.421	17.091	16.425	15.368	12.246	100.970	100.850	99.592
14.66667	16.101	15.878	15.567	14.913	14.106	11.548	102.930	102.750	101.630
14.83333	17.352	17.158	16.835	16.223	15.144	12.424	104.300	105.840	104.880
15.00000	17.694	17.352	17.121	16.561	15.488	12.689	105.450	104.470	105.100
15.16667	17.367	17.182	16.673	15.875	14.722	12.096	103.410	103.900	102.190
15.33333	16.850	16.880	16.546	15.877	15.128	13.018	101.140	100.860	100.680
15.50000	18.345	18.155	17.638	16.648	15.454	12.760	99.433	99.618	98.265
15.66667	16.009	15.558	14.968	14.488	13.628	11.407	98.477	98.837	98.613
15.83333	15.467	15.311	14.919	14.265	13.434	11.197	99.632	98.923	96.994
16.00000	16.286	16.021	15.548	14.725	13.448	11.306	97.652	96.992	99.267
16.16667	15.892	15.632	15.045	14.250	13.170	11.053	100.500	101.150	99.440
16.33333	17.246	17.092	16.643	15.785	14.570	11.747	101.680	101.000	99.181
16.50000	15.985	15.662	15.090	14.453	13.687	11.314	102.890	102.110	100.030
16.66667	14.879	14.424	13.854	13.200	12.199	10.107	104.710	104.400	104.410
16.83333	15.649	15.391	14.941	14.381	13.362	11.379	105.040	104.750	104.490
17.00000	13.379	13.194	12.802	12.387	11.622	9.679	104.980	104.810	103.940
17.16667	15.592	15.194	14.672	14.086	13.303	10.966	105.280	105.760	105.720
17.33333	13.855	13.536	13.089	12.628	11.973	9.921	107.650	106.680	107.170
17.50000	14.708	14.356	13.836	13.440	12.709	10.734	107.510	108.050	106.690
17.66667	14.194	13.906	13.287	12.657	11.987	10.031	107.580	107.450	106.740
17.83333	13.915	13.387	12.821	12.109	11.379	9.405	109.700	109.330	109.200
18.00000	13.991	13.723	13.459	13.048	12.325	10.279	109.390	109.690	108.930
18.16667	14.933	14.704	14.301	13.475	12.425	10.116	109.510	108.940	109.040
18.33333	15.520	15.080	14.646	13.949	13.052	10.863	109.170	108.950	107.760
18.50000	16.122	15.730	15.179	14.435	13.479	11.512	112.870	113.450	113.550
18.66667	14.604	14.319	13.901	13.227	12.278	10.127	113.080	114.140	114.590
18.83333	14.181	13.915	13.415	12.732	11.812	9.675	112.600	113.230	114.140
19.00000	13.855	13.399	12.897	12.145	11.186	9.078	110.620	110.150	110.120
19.16667	12.969	12.612	12.103	11.405	10.544	8.671	109.350	108.920	108.290
19.33333	12.566	12.200	11.744	11.064	10.009	8.002	109.270	109.570	107.710
19.50000	12.685	12.302	11.867	11.243	10.445	8.366	109.100	108.780	107.330
19.66667	12.762	12.356	11.652	10.788	9.731	7.787	107.430	106.710	105.290
19.83333	12.253	11.664	10.979	10.143	9.212	7.097	105.030	103.820	100.970
20.00000	12.176	11.771	11.024	10.340	9.602	7.981	104.590	102.840	101.240
